customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,support_tickets,late_payments,churn
C101,23,Female,5,52.50,262.50,Monthly,5,2,1
C102,41,Male,28,81.20,2273.60,Two-Year,1,0,0
C103,30,Female,11,63.75,701.25,One-Year,2,1,0
C104,55,Male,3,112.40,337.20,Monthly,7,4,1
C105,36,Female,19,72.10,1369.90,One-Year,1,0,0
C106,27,Male,7,58.30,408.10,Monthly,4,2,1
C107,49,Female,34,91.50,3111.00,Two-Year,0,0,0
C108,32,Male,14,67.80,949.20,One-Year,2,0,0
C109,25,Female,2,46.90,93.80,Monthly,6,3,1
C110,44,Male,25,78.60,1965.00,Two-Year,1,0,0
C111,29,Female,9,61.40,552.60,Monthly,3,1,1
C112,38,Male,21,70.25,1475.25,One-Year,2,0,0
C113,52,Female,6,98.90,593.40,Monthly,5,2,1
C114,34,Male,31,84.70,2625.70,Two-Year,0,0,0
C115,47,Female,13,76.35,992.55,One-Year,2,1,1
C116,26,Male,17,55.80,948.60,One-Year,1,0,0
C117,58,Female,4,105.60,422.40,Monthly,8,4,1
C118,40,Male,37,88.25,3265.25,Two-Year,0,0,0
C119,31,Female,8,64.10,512.80,Monthly,4,2,1
C120,43,Male,23,79.90,1837.70,Two-Year,1,0,0
